pool_default,Mx470a6aa7110e799cf3978930fef25569d162babc,0,240.3238474935,1200
pool_default,Mxc464af1fa8d885cb07c697f1f8254d72c76ad881,0,232.39375,1100
other,Mxfdbab614d8603cc95f259a3ab2f8a9608a170440,0,0,1100
other,Mx2cbbf0b2c4ca534dfeaeb32afead423fc9818ca3,393.7942736,98.4485684,1100
pool_default,Mx8685345cdcbf6ba2544a5475413786dc499f1cd2,0,0,1100
pool_default,Mxe548ae76175bec07bca65010da7c7999db585cd2,0,0,100
other,Mx760dead35011d3f864f42f214c35fcb6232b4140,0,0,1200
other,Mx5a83f24b5a7d0c6717925a415bd8390eedb1df3b,3000163.7894,3750199.2519,6100
other,Mx5a786df3a16008d909902e83d2dbb65e46555cdc,0,0,6100
other,Mxc69c0bddf348be0f36ce696c215140eb906a1399,0,0,1100
other,Mx900049ffa6d0aed0ef4aa24524b9cb472b9ed71c,0,0,1100
other,Mx3d4621882561db7b89f59283fcffc21a10c44e30,0,0,1100
pool_default,Mx8685345cdcbf6ba2544a5475413786dc499f1cd2,0,0,5000
pool_default,Mxd6f53a37aa57acae181abe01f24c8c20c394045c,0,0,6100
other,Mx8685345cdcbf6ba2544a5475413786dc499f1cd2,0,0,1100
other,Mx3869fc4242024ed4fe195438d7f25ece16166eb5,0,0,6100
pool_default,Mxefea359f508fff775a7817685a93ff7718ac601e,0,2000,1100
other,Mx0a34ef98b85cdbc2376bebf9d0b55bf1345c8273,0,0,1100
pool_default,Mx8685345cdcbf6ba2544a5475413786dc499f1cd2,0,3003.0940017122,1100
other,Mx4a3878b50723af452a379fe0bdf78ec9f18f5cf9,0,0,1100
pool_default,Mx856af7dc2ad6d4166938ef8624eb7ee0e9584d0f,0,1347.4832,1100
pool_default,Mx5091ff832a05f66c5212e90a0ef39896369e262f,0,2713.726475,1400
other,Mxf48925a80368e43d263cac5e8031cca9b4afbfcb,0,0,1100
other,Mx59285e68f2a1840d52261b4a6d3a22636f70053a,0,0,1100
pool_default,Mxdfaab6a97b2079fce7ad61da578d0f8920c5c27c,0,8.545,1100
other,Mx41337ceed774dd37598813125f58716681448ac4,0,0,1100
other,Mx9cf8da66dd55313d5222b52a719a53de008869af,0,0,1100
other,Mx20b437278a510752cd9f339649d8aee4af039ed6,0,0,100
pool_default,Mx7bf137857465acbff5384265288542481766e5da,0,273.1935,1100
other,Mx9051ce94e9cd62f11af791f4b12258b7f58e1919,0,0,1100
pool_default,Mx1c4264a4310d4616dc6863be60cc4c8a2a5e7c63,0,1250,6100
other,Mx88331a14c350dd6f61635b66d83194948b2dd2f8,1574.88,314.976,1100
other,Mx66f83558fed522197c982a178bf12a2719afda08,2090.605,522.65125,1100
other,Mx137a9c06a828ac15701859df94a1ca03e20609eb,0,0,1100
other,Mxdf97790dd25ffb3c8b6a6689a8c0d72b5a8dcc9d,0,0,1100
pool_default,Mxdf97790dd25ffb3c8b6a6689a8c0d72b5a8dcc9d,0,25.876,0
other,Mx994a96a15be6308a1f5d1c2bf445692608c8728c,0,0,1100
other,Mxd5b6e4ed2f67406b360028227deb21dade626d1c,0,0,1200
